Trade Time,Ticker,Expiration Date,Strike Price,Contract Type,Reference Price,Size,Option Price,Bid Price,Ask Price,Volume,Open Interest,Implied Volatility
2026-07-16T20:54:20.000Z,DEMO,2026-07-24,$192.50,PUT,$187.32,89,$3.98,$3.93,$4.03,"11,537","4,771",19.66%
2026-07-16T20:57:32.000Z,DEMO,2026-07-24,$177.50,CALL,$187.35,148,$5.42,$5.37,$5.47,"6,333","2,191",16.75%
2026-07-16T21:32:00.000Z,DEMO,2026-07-24,$182.50,CALL,$187.37,21,$3.90,$3.85,$3.95,"11,041","7,558",19.66%
2026-07-16T21:37:06.000Z,DEMO,2026-08-16,$182.50,CALL,$187.36,15,$3.59,$3.54,$3.64,"9,825","6,857",17.00%
2026-07-16T21:38:46.000Z,DEMO,2026-08-16,$182.50,PUT,$187.32,309,$3.59,$3.54,$3.64,"2,471",502,17.54%
2026-07-16T21:53:26.000Z,DEMO,2026-08-16,$207.50,PUT,$187.49,257,$9.89,$9.84,$9.94,"2,698","5,998",20.60%
2026-07-16T21:58:48.000Z,DEMO,2026-08-16,$202.50,CALL,$187.46,199,$7.85,$7.80,$7.90,"6,068","6,650",19.09%
2026-07-16T21:59:45.000Z,DEMO,2026-07-24,$197.50,CALL,$187.41,23,$5.83,$5.78,$5.88,"6,482","6,266",19.59%
2026-07-16T22:04:22.000Z,DEMO,2026-08-16,$192.50,CALL,$187.44,185,$3.49,$3.44,$3.54,"8,484","1,938",16.69%
2026-07-16T22:10:56.000Z,DEMO,2026-08-16,$177.50,CALL,$187.46,397,$5.63,$5.58,$5.68,"2,738","2,876",17.90%
2026-07-16T22:33:29.000Z,DEMO,2026-07-24,$172.50,CALL,$187.35,225,$7.76,$7.71,$7.81,"5,324","1,292",19.67%
2026-07-16T23:09:52.000Z,DEMO,2026-08-16,$207.50,PUT,$187.44,215,$9.82,$9.77,$9.87,"7,517","4,969",19.13%
2026-07-16T23:10:25.000Z,DEMO,2026-08-16,$192.50,CALL,$187.43,276,$3.89,$3.84,$3.94,"2,260","6,273",20.35%
2026-07-16T23:14:02.000Z,DEMO,2026-07-24,$172.50,CALL,$187.35,1,$7.77,$7.72,$7.82,"5,356","4,204",19.54%
2026-07-16T23:17:07.000Z,DEMO,2026-08-16,$182.50,PUT,$187.43,100,$3.75,$3.70,$3.80,"5,442","1,466",18.53%
2026-07-16T23:39:54.000Z,DEMO,2026-07-24,$192.50,CALL,$187.48,44,$3.96,$3.91,$4.01,"7,796","6,090",19.62%
2026-07-16T23:49:54.000Z,DEMO,2026-07-24,$207.50,PUT,$187.39,114,$9.99,$9.94,$10.04,"3,213","3,763",20.59%
2026-07-16T23:53:52.000Z,DEMO,2026-07-24,$202.50,PUT,$187.52,100,$7.99,$7.94,$8.04,"6,295","5,447",20.46%
2026-07-16T23:54:43.000Z,DEMO,2026-07-24,$192.50,CALL,$187.57,159,$3.88,$3.83,$3.93,"1,148","7,964",20.23%
2026-07-17T00:02:23.000Z,DEMO,2026-07-24,$182.50,PUT,$187.57,148,$3.84,$3.79,$3.89,"6,633","1,352",18.56%
2026-07-17T00:10:25.000Z,DEMO,2026-07-24,$192.50,PUT,$187.69,278,$3.55,$3.50,$3.60,"4,388",706,18.29%
2026-07-17T00:13:56.000Z,DEMO,2026-07-24,$197.50,CALL,$187.70,82,$5.72,$5.67,$5.77,"2,158","1,681",18.65%
2026-07-17T00:14:57.000Z,DEMO,2026-07-24,$187.50,PUT,$187.70,161,$1.78,$1.73,$1.83,"10,384","1,082",18.17%
2026-07-17T00:16:19.000Z,DEMO,2026-07-24,$202.50,PUT,$187.65,374,$7.65,$7.60,$7.70,"11,321","4,590",17.90%
2026-07-17T00:26:15.000Z,DEMO,2026-07-24,$207.50,PUT,$187.69,165,$9.87,$9.82,$9.92,"5,988",349,20.79%
2026-07-17T00:34:21.000Z,DEMO,2026-07-24,$170.00,PUT,$187.73,21,$8.83,$8.78,$8.88,"4,344","2,491",18.25%
2026-07-17T00:52:44.000Z,DEMO,2026-08-16,$202.50,CALL,$187.73,327,$7.76,$7.71,$7.81,"1,795","4,004",19.90%
2026-07-17T01:06:05.000Z,DEMO,2026-07-24,$177.50,PUT,$187.67,141,$6.02,$5.97,$6.07,"10,554","7,284",20.60%
2026-07-17T01:17:13.000Z,DEMO,2026-07-24,$207.50,PUT,$187.68,92,$9.73,$9.68,$9.78,"8,626","4,526",19.07%
2026-07-17T01:19:29.000Z,DEMO,2026-07-24,$182.50,CALL,$187.67,235,$4.06,$4.01,$4.11,"6,059","6,683",20.83%
2026-07-17T01:31:14.000Z,DEMO,2026-08-16,$202.50,PUT,$187.57,252,$7.68,$7.63,$7.73,"7,458","1,753",18.72%
2026-07-17T01:52:44.000Z,DEMO,2026-08-16,$177.50,CALL,$187.46,396,$5.86,$5.81,$5.91,"6,983","2,365",20.06%
2026-07-17T02:00:49.000Z,DEMO,2026-07-24,$202.50,PUT,$187.51,117,$7.98,$7.93,$8.03,258,"5,350",20.95%
2026-07-17T02:07:04.000Z,DEMO,2026-08-16,$172.50,PUT,$187.31,158,$7.84,$7.79,$7.89,"8,986",631,20.12%
2026-07-17T02:25:05.000Z,DEMO,2026-08-16,$187.50,CALL,$187.33,370,$1.63,$1.58,$1.68,"9,199","1,883",16.10%
2026-07-17T02:42:05.000Z,DEMO,2026-08-16,$177.50,CALL,$187.29,74,$5.78,$5.73,$5.83,"6,001","4,547",19.28%
2026-07-17T03:11:09.000Z,DEMO,2026-07-24,$202.50,CALL,$187.39,358,$7.67,$7.62,$7.72,"3,761","4,952",18.22%
2026-07-17T03:16:15.000Z,DEMO,2026-07-24,$192.50,CALL,$187.35,91,$3.59,$3.54,$3.64,"6,111","1,060",16.69%
2026-07-17T03:24:43.000Z,DEMO,2026-08-16,$187.50,PUT,$187.40,327,$1.63,$1.58,$1.68,"7,077","6,843",17.33%
2026-07-17T03:39:39.000Z,DEMO,2026-07-24,$177.50,PUT,$187.37,144,$5.79,$5.74,$5.84,"3,017","5,964",18.93%
2026-07-17T03:54:46.000Z,DEMO,2026-07-24,$197.50,PUT,$187.38,102,$5.74,$5.69,$5.79,914,"7,018",18.07%
2026-07-17T04:03:13.000Z,DEMO,2026-08-16,$177.50,PUT,$187.44,217,$5.89,$5.84,$5.94,579,"7,555",19.78%
2026-07-17T04:16:04.000Z,DEMO,2026-08-16,$182.50,PUT,$187.40,348,$3.75,$3.70,$3.80,"8,820","6,517",19.12%
2026-07-17T04:29:10.000Z,DEMO,2026-08-16,$192.50,CALL,$187.48,141,$3.81,$3.76,$3.86,"2,210","4,511",18.37%
2026-07-17T04:41:07.000Z,DEMO,2026-08-16,$192.50,CALL,$187.40,388,$3.66,$3.61,$3.71,"11,545","1,888",16.64%
2026-07-17T04:54:02.000Z,DEMO,2026-08-16,$177.50,PUT,$187.42,207,$5.74,$5.69,$5.79,"6,245","7,388",19.36%
2026-07-17T05:09:33.000Z,DEMO,2026-07-24,$202.50,CALL,$187.49,142,$7.73,$7.68,$7.78,"10,146","6,299",19.19%
2026-07-17T05:20:58.000Z,DEMO,2026-07-24,$177.50,CALL,$187.54,283,$5.78,$5.73,$5.83,"3,725","1,662",18.83%
2026-07-17T05:22:20.000Z,DEMO,2026-07-24,$187.50,CALL,$187.69,134,$1.80,$1.75,$1.85,873,"4,284",18.50%
2026-07-17T05:26:37.000Z,DEMO,2026-08-16,$177.50,PUT,$187.63,213,$5.70,$5.65,$5.75,"2,264","1,783",17.34%
2026-07-17T05:30:37.000Z,DEMO,2026-08-16,$197.50,PUT,$187.52,144,$5.64,$5.59,$5.69,"9,295","4,026",17.55%
2026-07-17T05:34:56.000Z,DEMO,2026-07-24,$207.50,CALL,$187.45,44,$9.65,$9.60,$9.70,"1,153","4,581",18.12%
2026-07-17T05:48:26.000Z,DEMO,2026-07-24,$202.50,PUT,$187.50,319,$7.95,$7.90,$8.00,"6,891","4,248",20.49%
2026-07-17T06:06:39.000Z,DEMO,2026-08-16,$182.50,PUT,$187.54,11,$3.78,$3.73,$3.83,"1,054","4,771",19.40%
2026-07-17T06:16:44.000Z,DEMO,2026-08-16,$207.50,PUT,$187.54,178,$9.75,$9.70,$9.80,"3,554","1,378",20.42%
2026-07-17T06:24:22.000Z,DEMO,2026-08-16,$177.50,PUT,$187.46,241,$5.84,$5.79,$5.89,"4,385","5,282",19.80%
2026-07-17T06:45:50.000Z,DEMO,2026-08-16,$192.50,CALL,$187.52,206,$3.80,$3.75,$3.85,"9,489",916,18.69%
2026-07-17T07:12:41.000Z,DEMO,2026-08-16,$170.00,CALL,$187.43,96,$8.69,$8.64,$8.74,"8,304","5,736",18.22%
2026-07-17T07:39:13.000Z,DEMO,2026-08-16,$187.50,CALL,$187.51,374,$1.80,$1.75,$1.85,"5,619","5,944",19.84%
2026-07-17T09:05:58.000Z,DEMO,2026-08-16,$177.50,PUT,$187.73,340,$5.84,$5.79,$5.89,"4,368","4,318",18.66%
2026-07-17T09:08:01.000Z,DEMO,2026-08-16,$197.50,PUT,$187.75,308,$5.77,$5.72,$5.82,"5,523","4,807",20.40%
2026-07-17T09:17:18.000Z,DEMO,2026-07-24,$192.50,CALL,$187.80,319,$3.77,$3.72,$3.82,"2,368","7,237",19.51%
2026-07-17T09:22:07.000Z,DEMO,2026-07-24,$172.50,PUT,$187.76,18,$7.87,$7.82,$7.92,"5,440",323,18.64%
2026-07-17T09:31:41.000Z,DEMO,2026-08-16,$187.50,CALL,$187.63,44,$1.78,$1.73,$1.83,"11,095","6,049",19.09%
2026-07-17T10:14:00.000Z,DEMO,2026-08-16,$177.50,CALL,$187.58,271,$5.68,$5.63,$5.73,"11,160","5,938",18.41%
2026-07-17T10:34:50.000Z,DEMO,2026-07-24,$170.00,CALL,$187.50,52,$8.71,$8.66,$8.76,"2,819","6,897",19.27%
2026-07-17T10:36:39.000Z,DEMO,2026-08-16,$187.50,PUT,$187.39,185,$1.77,$1.72,$1.82,"11,448","5,233",18.59%
2026-07-17T10:39:58.000Z,DEMO,2026-07-24,$187.50,CALL,$187.52,152,$1.72,$1.67,$1.77,"5,309","4,396",18.56%
2026-07-17T10:45:24.000Z,DEMO,2026-08-16,$182.50,CALL,$187.54,98,$3.86,$3.81,$3.91,"7,131",607,19.05%
2026-07-17T10:50:42.000Z,DEMO,2026-08-16,$170.00,CALL,$187.57,125,$8.87,$8.82,$8.92,"9,817","3,352",19.91%
2026-07-17T10:55:17.000Z,DEMO,2026-08-16,$177.50,PUT,$187.54,303,$5.82,$5.77,$5.87,"2,557","6,007",18.58%
2026-07-17T10:55:36.000Z,DEMO,2026-07-24,$170.00,CALL,$187.53,209,$8.89,$8.84,$8.94,"1,430","3,377",19.71%
2026-07-17T10:56:53.000Z,DEMO,2026-08-16,$182.50,CALL,$187.60,50,$3.65,$3.60,$3.70,"2,848",386,17.57%
2026-07-17T10:58:29.000Z,DEMO,2026-08-16,$197.50,CALL,$187.60,352,$5.70,$5.65,$5.75,"2,758","1,043",19.31%
2026-07-17T11:04:39.000Z,DEMO,2026-07-24,$177.50,PUT,$187.64,161,$5.82,$5.77,$5.87,"2,497",839,19.12%
2026-07-17T11:07:39.000Z,DEMO,2026-08-16,$177.50,CALL,$187.63,164,$5.85,$5.80,$5.90,485,"3,991",19.95%
2026-07-17T11:20:05.000Z,DEMO,2026-07-24,$207.50,CALL,$187.60,44,$9.92,$9.87,$9.97,"6,921","4,979",19.90%
2026-07-17T11:46:05.000Z,DEMO,2026-08-16,$192.50,PUT,$187.50,162,$3.70,$3.65,$3.75,"2,607","6,961",17.61%
2026-07-17T11:56:50.000Z,DEMO,2026-08-16,$192.50,CALL,$187.35,168,$3.86,$3.81,$3.91,"5,244","7,976",19.10%
2026-07-17T11:58:45.000Z,DEMO,2026-07-24,$187.50,PUT,$187.33,163,$1.89,$1.84,$1.94,"11,089","3,207",19.11%
2026-07-17T12:10:42.000Z,DEMO,2026-08-16,$192.50,CALL,$187.33,282,$3.79,$3.74,$3.84,"1,594","3,704",17.92%
2026-07-17T12:10:57.000Z,DEMO,2026-07-24,$177.50,CALL,$187.24,111,$5.82,$5.77,$5.87,"8,564","6,247",20.44%
2026-07-17T12:18:03.000Z,DEMO,2026-08-16,$207.50,CALL,$187.23,3,$9.91,$9.86,$9.96,"2,197","4,759",19.72%
2026-07-17T12:18:52.000Z,DEMO,2026-08-16,$177.50,PUT,$187.24,206,$5.91,$5.86,$5.96,"7,212","4,660",22.13%
2026-07-17T12:21:15.000Z,DEMO,2026-08-16,$172.50,PUT,$187.08,225,$7.63,$7.58,$7.68,"8,905","2,640",20.19%
2026-07-17T12:24:25.000Z,DEMO,2026-07-24,$197.50,CALL,$187.01,333,$5.88,$5.83,$5.93,"2,825","1,133",19.21%
2026-07-17T12:36:59.000Z,DEMO,2026-08-16,$202.50,CALL,$187.04,68,$8.09,$8.04,$8.14,"6,555","6,406",19.89%
2026-07-17T13:06:25.000Z,DEMO,2026-08-16,$170.00,PUT,$187.07,75,$8.74,$8.69,$8.79,"1,945","3,801",20.22%
2026-07-17T13:11:17.000Z,DEMO,2026-08-16,$207.50,CALL,$186.98,207,$10.12,$10.07,$10.17,"4,036","2,058",20.50%
2026-07-17T13:12:54.000Z,DEMO,2026-08-16,$197.50,PUT,$186.99,297,$5.87,$5.82,$5.92,"7,187",993,18.43%
2026-07-17T13:27:40.000Z,DEMO,2026-08-16,$177.50,CALL,$187.07,217,$5.49,$5.44,$5.54,"11,911","1,548",18.49%
2026-07-17T13:30:36.000Z,DEMO,2026-07-24,$177.50,PUT,$187.13,374,$5.69,$5.64,$5.74,"6,167","3,263",19.10%
2026-07-17T13:45:50.000Z,DEMO,2026-07-24,$202.50,PUT,$187.12,261,$8.16,$8.11,$8.21,"2,257","4,947",21.47%
2026-07-17T13:58:18.000Z,DEMO,2026-07-24,$202.50,CALL,$187.08,298,$8.24,$8.19,$8.29,"3,047","4,029",21.16%
2026-07-17T14:15:10.000Z,DEMO,2026-08-16,$170.00,CALL,$187.04,220,$8.53,$8.48,$8.58,"11,151","6,592",18.64%
2026-07-17T14:27:48.000Z,DEMO,2026-07-24,$172.50,PUT,$187.07,330,$7.62,$7.57,$7.67,"7,930","1,148",19.90%
2026-07-17T14:33:43.000Z,DEMO,2026-08-16,$172.50,CALL,$187.09,391,$7.73,$7.68,$7.78,"5,714","2,034",20.68%
2026-07-17T14:47:06.000Z,DEMO,2026-08-16,$177.50,CALL,$187.13,214,$5.56,$5.51,$5.61,"1,506","2,721",18.66%
2026-07-17T14:52:12.000Z,DEMO,2026-08-16,$170.00,CALL,$187.14,300,$8.72,$8.67,$8.77,"5,496","5,615",19.79%
2026-07-17T14:52:32.000Z,DEMO,2026-07-24,$187.50,PUT,$187.21,233,$1.86,$1.81,$1.91,"4,048","3,542",19.20%
2026-07-17T15:01:02.000Z,DEMO,2026-07-24,$177.50,PUT,$187.21,157,$5.42,$5.37,$5.47,"2,265","2,581",16.94%
2026-07-17T15:41:53.000Z,DEMO,2026-07-24,$182.50,CALL,$187.27,256,$3.76,$3.71,$3.81,"4,660","3,806",20.47%
2026-07-17T15:46:10.000Z,DEMO,2026-07-24,$202.50,CALL,$187.34,26,$7.82,$7.77,$7.87,"1,720","5,678",17.96%
2026-07-17T15:52:32.000Z,DEMO,2026-08-16,$197.50,CALL,$187.28,359,$5.97,$5.92,$6.02,"4,680","1,963",20.09%
2026-07-17T15:54:55.000Z,DEMO,2026-08-16,$207.50,CALL,$187.14,306,$9.94,$9.89,$9.99,"8,232","7,357",19.28%
2026-07-17T16:05:27.000Z,DEMO,2026-07-24,$202.50,PUT,$187.26,11,$8.06,$8.01,$8.11,"9,437","4,898",21.11%
2026-07-17T16:06:20.000Z,DEMO,2026-08-16,$192.50,PUT,$187.28,198,$3.93,$3.88,$3.98,"6,151","2,232",18.76%
2026-07-17T16:25:02.000Z,DEMO,2026-08-16,$177.50,CALL,$187.15,128,$5.79,$5.74,$5.84,"4,612",661,20.69%
2026-07-17T16:48:14.000Z,DEMO,2026-08-16,$187.50,CALL,$187.09,164,$2.11,$2.06,$2.16,"3,937",228,20.37%
2026-07-17T16:51:33.000Z,DEMO,2026-08-16,$187.50,PUT,$187.15,5,$1.93,$1.88,$1.98,"10,900","5,296",20.00%
2026-07-17T16:56:54.000Z,DEMO,2026-07-24,$182.50,PUT,$187.13,244,$3.59,$3.54,$3.64,"2,853",999,18.23%
2026-07-17T17:16:23.000Z,DEMO,2026-08-16,$177.50,PUT,$187.09,372,$5.68,$5.63,$5.73,"2,622","3,769",19.17%
2026-07-17T17:21:05.000Z,DEMO,2026-08-16,$187.50,PUT,$187.20,219,$1.56,$1.51,$1.61,"1,724","3,777",15.99%
2026-07-17T17:25:22.000Z,DEMO,2026-07-24,$207.50,CALL,$187.12,375,$10.01,$9.96,$10.06,"11,447","1,849",19.90%
2026-07-17T17:27:26.000Z,DEMO,2026-07-24,$172.50,PUT,$187.06,383,$7.68,$7.63,$7.73,"7,039","2,718",19.52%
2026-07-17T18:16:20.000Z,DEMO,2026-08-16,$197.50,CALL,$187.07,272,$6.01,$5.96,$6.06,"3,211","3,068",19.57%
2026-07-17T18:23:45.000Z,DEMO,2026-08-16,$197.50,CALL,$187.10,262,$5.89,$5.84,$5.94,"9,196","5,419",18.96%
2026-07-17T18:27:48.000Z,DEMO,2026-07-24,$202.50,CALL,$187.14,321,$8.05,$8.00,$8.10,"4,108","6,347",20.06%
2026-07-17T18:36:54.000Z,DEMO,2026-07-24,$187.50,CALL,$187.21,76,$1.72,$1.67,$1.77,"7,566","5,542",17.13%
2026-07-17T18:47:45.000Z,DEMO,2026-08-16,$197.50,CALL,$187.22,277,$5.82,$5.77,$5.87,706,"2,265",18.59%
2026-07-17T18:47:57.000Z,DEMO,2026-08-16,$197.50,PUT,$187.26,304,$5.88,$5.83,$5.93,655,"3,074",19.24%
2026-07-17T18:57:49.000Z,DEMO,2026-07-24,$170.00,CALL,$187.24,109,$8.91,$8.86,$8.96,"9,958","3,305",22.01%
2026-07-17T19:00:26.000Z,DEMO,2026-07-24,$192.50,PUT,$187.25,294,$3.91,$3.86,$3.96,"4,173",106,19.82%
2026-07-17T19:11:44.000Z,DEMO,2026-08-16,$172.50,CALL,$187.25,193,$7.82,$7.77,$7.87,"4,114",465,20.69%
2026-07-17T19:14:47.000Z,DEMO,2026-08-16,$170.00,PUT,$187.27,23,$8.79,$8.74,$8.84,"1,621","7,718",20.67%
2026-07-17T19:20:57.000Z,DEMO,2026-07-24,$207.50,PUT,$187.33,93,$10.03,$9.98,$10.08,"1,335",626,21.28%
2026-07-17T19:25:48.000Z,DEMO,2026-08-16,$172.50,PUT,$187.37,31,$7.88,$7.83,$7.93,"2,252","5,715",20.98%
2026-07-17T19:34:43.000Z,DEMO,2026-08-16,$192.50,PUT,$187.37,295,$3.78,$3.73,$3.83,"4,503","5,612",18.02%
2026-07-17T19:47:01.000Z,DEMO,2026-07-24,$170.00,PUT,$187.31,203,$8.74,$8.69,$8.79,"9,947","1,472",20.07%
2026-07-17T20:00:24.000Z,DEMO,2026-07-24,$170.00,CALL,$187.32,58,$8.98,$8.93,$9.03,"1,890","4,646",21.56%
2026-07-17T20:03:36.000Z,DEMO,2026-07-24,$177.50,CALL,$187.32,78,$5.57,$5.52,$5.62,"2,751","5,218",18.25%
2026-07-17T20:08:47.000Z,DEMO,2026-07-24,$197.50,PUT,$187.33,227,$5.92,$5.87,$5.97,"11,195","4,342",19.60%
2026-07-17T20:10:23.000Z,DEMO,2026-07-24,$197.50,PUT,$187.50,369,$5.85,$5.80,$5.90,"10,208","3,391",19.41%
2026-07-17T20:14:27.000Z,DEMO,2026-07-24,$170.00,CALL,$187.46,251,$8.75,$8.70,$8.80,"4,350","1,476",19.43%
2026-07-17T20:17:41.000Z,DEMO,2026-08-16,$197.50,PUT,$187.49,316,$5.92,$5.87,$5.97,"7,408",202,18.85%
2026-07-17T20:24:44.000Z,DEMO,2026-07-24,$202.50,CALL,$187.57,14,$7.88,$7.83,$7.93,"9,167","2,380",19.90%
2026-07-17T20:44:17.000Z,DEMO,2026-07-24,$197.50,PUT,$187.58,56,$5.69,$5.64,$5.74,"3,683","5,219",18.12%
2026-07-17T20:58:54.000Z,DEMO,2026-07-24,$182.50,CALL,$187.75,147,$4.08,$4.03,$4.13,"1,379","4,162",21.24%
2026-07-17T21:10:45.000Z,DEMO,2026-07-24,$172.50,PUT,$187.72,53,$8.02,$7.97,$8.07,"8,664","2,644",20.25%
2026-07-17T21:51:40.000Z,DEMO,2026-08-16,$192.50,PUT,$187.75,53,$3.53,$3.48,$3.58,"1,555","7,068",17.88%
2026-07-17T21:53:16.000Z,DEMO,2026-07-24,$192.50,PUT,$187.69,138,$3.70,$3.65,$3.75,"1,636","7,773",18.55%
2026-07-17T22:15:51.000Z,DEMO,2026-08-16,$187.50,CALL,$187.66,111,$1.83,$1.78,$1.88,"9,687",793,18.64%
2026-07-17T22:25:49.000Z,DEMO,2026-08-16,$170.00,PUT,$187.68,124,$8.94,$8.89,$8.99,"2,070","5,599",20.67%
2026-07-17T22:34:02.000Z,DEMO,2026-07-24,$177.50,CALL,$187.74,200,$5.69,$5.64,$5.74,"2,427","7,829",17.76%
2026-07-17T22:45:37.000Z,DEMO,2026-07-24,$197.50,CALL,$187.77,380,$5.71,$5.66,$5.76,"2,244","5,169",20.07%
2026-07-17T22:47:23.000Z,DEMO,2026-08-16,$197.50,PUT,$187.86,167,$5.64,$5.59,$5.69,"6,493","1,222",18.43%
2026-07-17T23:34:50.000Z,DEMO,2026-08-16,$177.50,PUT,$187.85,42,$6.00,$5.95,$6.05,"1,409",844,19.61%
2026-07-17T23:38:51.000Z,DEMO,2026-07-24,$172.50,PUT,$187.83,16,$8.01,$7.96,$8.06,"1,264","1,147",19.64%
2026-07-17T23:39:42.000Z,DEMO,2026-07-24,$182.50,PUT,$188.03,141,$4.19,$4.14,$4.24,"3,007","3,947",19.81%
2026-07-17T23:42:43.000Z,DEMO,2026-08-16,$170.00,PUT,$188.06,53,$8.86,$8.81,$8.91,512,"1,171",18.36%
2026-07-18T00:17:28.000Z,DEMO,2026-07-24,$207.50,CALL,$188.01,128,$9.66,$9.61,$9.71,"2,629",301,20.59%
2026-07-18T00:31:46.000Z,DEMO,2026-08-16,$187.50,CALL,$187.96,212,$1.94,$1.89,$1.99,"6,643","6,309",18.92%
2026-07-18T00:41:23.000Z,DEMO,2026-07-24,$192.50,CALL,$187.88,117,$3.53,$3.48,$3.58,"1,343",775,17.33%
