Type,Strike,Exp Date,Bid,Ask,Last,Volume,OI,IV,Underlying Price,Quote Date
C,160.0,2026-07-31,27.35,28.17,27.29,22,41,0.3214,187.5,2026-07-17
P,160.0,2026-07-31,0.0,0.05,0.04,22,70,0.3274,187.5,2026-07-17
C,162.5,2026-07-31,24.72,25.86,25.05,8,52,0.3225,187.5,2026-07-17
P,162.5,2026-07-31,0.01,0.06,0.06,8,22,0.3157,187.5,2026-07-17
C,165.0,2026-07-31,22.18,23.45,22.24,31,211,0.3102,187.5,2026-07-17
P,165.0,2026-07-31,0.03,0.08,0.06,12,95,0.304,187.5,2026-07-17
C,167.5,2026-07-31,20.04,20.7,20.13,187,331,0.3055,187.5,2026-07-17
P,167.5,2026-07-31,0.08,0.13,0.11,67,543,0.3017,187.5,2026-07-17
C,170.0,2026-07-31,17.65,18.22,17.81,86,314,0.2934,187.5,2026-07-17
P,170.0,2026-07-31,0.14,0.19,0.14,24,88,0.2894,187.5,2026-07-17
C,172.5,2026-07-31,15.36,15.81,15.48,200,493,0.2937,187.5,2026-07-17
P,172.5,2026-07-31,0.26,0.31,0.28,311,789,0.2867,187.5,2026-07-17
C,175.0,2026-07-31,14.8,15.41,15.33,201,615,0.4901,187.5,2026-07-17
P,175.0,2026-07-31,2.16,2.28,2.23,30,272,0.479,187.5,2026-07-17
C,177.5,2026-07-31,10.74,11.33,11.09,93,647,0.2767,187.5,2026-07-17
P,177.5,2026-07-31,0.75,0.8,0.77,23,93,0.2778,187.5,2026-07-17
C,180.0,2026-07-31,8.77,9.16,8.82,1025,4640,0.2725,187.5,2026-07-17
P,180.0,2026-07-31,1.14,1.2,1.17,9800,2100,0.2708,187.5,2026-07-17
C,182.5,2026-07-31,6.96,7.1,7.06,242,1714,0.2648,187.5,2026-07-17
P,182.5,2026-07-31,1.74,1.84,1.76,77,607,0.268,187.5,2026-07-17
C,185.0,2026-07-31,5.32,5.51,5.49,511,1661,0.2659,187.5,2026-07-17
P,185.0,2026-07-31,2.5,2.57,2.53,440,2093,0.2589,187.5,2026-07-17
C,187.5,2026-07-31,3.79,3.96,3.77,407,792,0.2546,187.5,2026-07-17
P,187.5,2026-07-31,3.55,3.71,3.62,347,1381,0.2577,187.5,2026-07-17
C,190.0,2026-07-31,2.73,2.82,2.79,1165,2248,0.2565,187.5,2026-07-17
P,190.0,2026-07-31,4.8,5.08,4.89,192,593,0.2533,187.5,2026-07-17
C,192.5,2026-07-31,1.78,1.83,1.81,251,1701,0.2489,187.5,2026-07-17
P,192.5,2026-07-31,6.49,6.68,6.58,167,763,0.2546,187.5,2026-07-17
C,195.0,2026-07-31,1.08,1.13,1.11,288,489,0.243,187.5,2026-07-17
P,195.0,2026-07-31,8.27,8.6,8.41,820,1415,0.2541,187.5,2026-07-17
C,197.5,2026-07-31,0.68,0.73,0.71,1005,2840,0.2458,187.5,2026-07-17
P,197.5,2026-07-31,10.11,10.73,10.23,454,983,0.2479,187.5,2026-07-17
C,200.0,2026-07-31,0.38,0.43,0.39,239,405,0.2439,187.5,2026-07-17
P,200.0,2026-07-31,12.24,12.99,12.71,125,353,0.2466,187.5,2026-07-17
C,202.5,2026-07-31,0.19,0.24,0.23,40,529,0.2421,187.5,2026-07-17
P,202.5,2026-07-31,14.55,15.25,14.65,241,528,0.2405,187.5,2026-07-17
C,205.0,2026-07-31,0.11,0.16,0.12,33,637,0.2468,187.5,2026-07-17
P,205.0,2026-07-31,16.9,17.72,17.41,65,157,0.2451,187.5,2026-07-17
C,207.5,2026-07-31,0.03,0.08,0.08,273,729,0.2396,187.5,2026-07-17
P,207.5,2026-07-31,19.44,20.05,19.71,13,57,0.2425,187.5,2026-07-17
C,210.0,2026-07-31,0.0,0.05,0.05,15,126,0.2378,187.5,2026-07-17
P,210.0,2026-07-31,21.55,22.88,21.79,9,18,0.2463,187.5,2026-07-17
C,212.5,2026-07-31,0.0,0.04,0.04,1,31,0.2516,187.5,2026-07-17
P,212.5,2026-07-31,24.13,25.25,25.03,30,66,0.2408,187.5,2026-07-17
C,215.0,2026-07-31,0.0,0.03,0.01,7,13,0.2414,187.5,2026-07-17
P,215.0,2026-07-31,26.5,27.85,27.44,16,91,0.2429,187.5,2026-07-17
C,217.5,2026-07-31,0.0,0.03,0.03,45,94,0.2494,187.5,2026-07-17
P,217.5,2026-07-31,29.09,30.25,30.03,24,45,0.2493,187.5,2026-07-17
C,220.0,2026-07-31,0.0,0.03,0.01,103,180,0.2457,187.5,2026-07-17
P,220.0,2026-07-31,31.56,32.76,32.45,0,4,0.2487,187.5,2026-07-17
C,222.5,2026-07-31,0.0,0.03,0.01,4,57,0.2398,187.5,2026-07-17
P,222.5,2026-07-31,34.05,35.27,34.98,6,28,0.245,187.5,2026-07-17
C,225.0,2026-07-31,0.0,0.03,0.01,5,110,0.2502,187.5,2026-07-17
P,225.0,2026-07-31,36.42,37.89,36.58,55,108,0.2502,187.5,2026-07-17
C,150.0,2026-08-31,38.13,39.4,38.04,2,15,0.4018,187.5,2026-07-17
P,150.0,2026-08-31,0.51,0.56,0.52,3,23,0.4033,187.5,2026-07-17
C,152.5,2026-08-31,35.91,36.84,36.44,5,75,0.3917,187.5,2026-07-17
P,152.5,2026-08-31,0.54,0.59,0.57,77,149,0.383,187.5,2026-07-17
C,155.0,2026-08-31,33.05,34.89,34.79,51,98,0.3781,187.5,2026-07-17
P,155.0,2026-08-31,0.68,0.73,0.69,32,146,0.3777,187.5,2026-07-17
C,157.5,2026-08-31,30.92,32.32,32.05,10,109,0.3693,187.5,2026-07-17
P,157.5,2026-08-31,0.81,0.86,0.84,18,43,0.3681,187.5,2026-07-17
C,160.0,2026-08-31,28.85,29.81,29.39,23,182,0.3634,187.5,2026-07-17
P,160.0,2026-08-31,0.9,0.95,0.93,1,21,0.3521,187.5,2026-07-17
C,162.5,2026-08-31,26.45,27.62,27.04,35,103,0.3542,187.5,2026-07-17
P,162.5,2026-08-31,1.08,1.13,1.09,10,26,0.3426,187.5,2026-07-17
C,165.0,2026-08-31,24.34,24.85,24.72,43,229,0.331,187.5,2026-07-17
P,165.0,2026-08-31,1.31,1.36,1.34,53,147,0.3348,187.5,2026-07-17
C,167.5,2026-08-31,21.8,23.14,22.36,91,188,0.3296,187.5,2026-07-17
P,167.5,2026-08-31,1.64,1.7,1.66,85,201,0.3311,187.5,2026-07-17
C,170.0,2026-08-31,19.75,20.94,20.2,348,632,0.3237,187.5,2026-07-17
P,170.0,2026-08-31,1.88,1.95,1.88,7400,1200,0.318,187.5,2026-07-17
C,172.5,2026-08-31,17.93,18.58,18.24,414,863,0.3159,187.5,2026-07-17
P,172.5,2026-08-31,2.49,2.55,2.51,20,199,0.3221,187.5,2026-07-17
C,175.0,2026-08-31,15.97,16.78,16.31,848,1904,0.3153,187.5,2026-07-17
P,175.0,2026-08-31,2.84,2.94,2.9,951,3461,0.3092,187.5,2026-07-17
C,177.5,2026-08-31,14.04,14.87,14.35,409,1534,0.3078,187.5,2026-07-17
P,177.5,2026-08-31,3.45,3.54,3.5,157,339,0.304,187.5,2026-07-17
C,180.0,2026-08-31,12.39,12.78,12.67,92,301,0.2992,187.5,2026-07-17
P,180.0,2026-08-31,4.14,4.24,4.17,583,1808,0.2986,187.5,2026-07-17
C,182.5,2026-08-31,10.56,10.88,10.7,668,1224,0.2864,187.5,2026-07-17
P,182.5,2026-08-31,4.96,5.26,5.02,106,490,0.2981,187.5,2026-07-17
C,185.0,2026-08-31,9.22,9.44,9.24,102,726,0.2885,187.5,2026-07-17
P,185.0,2026-08-31,5.89,6.05,6.01,179,845,0.2904,187.5,2026-07-17
C,187.5,2026-08-31,7.67,7.96,7.82,791,1394,0.2805,187.5,2026-07-17
P,187.5,2026-08-31,7.07,7.47,7.14,245,1653,0.2949,187.5,2026-07-17
C,190.0,2026-08-31,6.63,6.89,6.72,1577,2970,0.2851,187.5,2026-07-17
P,190.0,2026-08-31,8.01,8.35,8.3,115,204,0.2797,187.5,2026-07-17
C,192.5,2026-08-31,5.47,5.76,5.6,1503,4356,0.2814,187.5,2026-07-17
P,192.5,2026-08-31,9.51,9.75,9.63,1058,1844,0.2799,187.5,2026-07-17
C,195.0,2026-08-31,4.56,4.75,4.6,15200,4900,0.2799,187.5,2026-07-17
P,195.0,2026-08-31,11.04,11.28,11.21,487,1268,0.2783,187.5,2026-07-17
C,197.5,2026-08-31,3.83,3.97,3.89,523,1046,0.2817,187.5,2026-07-17
P,197.5,2026-08-31,12.22,12.71,12.52,89,1156,0.2623,187.5,2026-07-17
C,200.0,2026-08-31,9.08,9.56,9.59,95,572,0.531,187.5,2026-07-17
P,200.0,2026-08-31,20.32,21.1,20.69,113,557,0.526,187.5,2026-07-17
C,202.5,2026-08-31,2.36,2.45,2.41,80,303,0.2715,187.5,2026-07-17
P,202.5,2026-08-31,16.25,16.79,16.38,307,809,0.277,187.5,2026-07-17
C,205.0,2026-08-31,1.94,2.06,1.96,149,291,0.2756,187.5,2026-07-17
P,205.0,2026-08-31,18.16,18.86,18.57,41,192,0.2764,187.5,2026-07-17
C,207.5,2026-08-31,1.63,1.69,1.68,65,146,0.2795,187.5,2026-07-17
P,207.5,2026-08-31,19.97,21.13,20.79,41,152,0.2741,187.5,2026-07-17
C,210.0,2026-08-31,1.25,1.3,1.28,74,179,0.2762,187.5,2026-07-17
P,210.0,2026-08-31,22.35,23.1,22.99,13,73,0.2752,187.5,2026-07-17
C,212.5,2026-08-31,0.89,0.94,0.92,27,65,0.2701,187.5,2026-07-17
P,212.5,2026-08-31,24.59,25.29,25.05,2,7,0.2754,187.5,2026-07-17
C,215.0,2026-08-31,0.78,0.83,0.81,13,49,0.2791,187.5,2026-07-17
P,215.0,2026-08-31,26.6,27.81,27.04,29,131,0.2749,187.5,2026-07-17
C,217.5,2026-08-31,0.61,0.66,0.64,19,36,0.2799,187.5,2026-07-17
P,217.5,2026-08-31,28.75,30.34,29.72,9,21,0.2781,187.5,2026-07-17
C,220.0,2026-08-31,0.52,0.57,0.57,14,75,0.2871,187.5,2026-07-17
P,220.0,2026-08-31,31.32,32.48,32.32,6,46,0.2791,187.5,2026-07-17
C,222.5,2026-08-31,0.34,0.39,0.37,82,173,0.2787,187.5,2026-07-17
P,222.5,2026-08-31,33.63,34.85,33.76,8,29,0.2745,187.5,2026-07-17
C,225.0,2026-08-31,0.33,0.38,0.38,38,80,0.2922,187.5,2026-07-17
P,225.0,2026-08-31,35.67,37.7,36.48,2,17,0.2812,187.5,2026-07-17
C,150.0,2026-10-15,40.84,42.6,41.72,69,116,0.4444,187.5,2026-07-17
P,150.0,2026-10-15,2.82,2.89,2.87,39,130,0.4504,187.5,2026-07-17
C,152.5,2026-10-15,39.07,39.94,39.62,12,24,0.4353,187.5,2026-07-17
P,152.5,2026-10-15,2.85,2.95,2.92,56,177,0.4297,187.5,2026-07-17
C,155.0,2026-10-15,36.71,37.67,37.21,50,146,0.4201,187.5,2026-07-17
P,155.0,2026-10-15,3.07,3.14,3.11,2,35,0.4171,187.5,2026-07-17
C,157.5,2026-10-15,34.05,35.9,34.93,28,57,0.409,187.5,2026-07-17
P,157.5,2026-10-15,3.34,3.52,3.5,11,61,0.409,187.5,2026-07-17
C,160.0,2026-10-15,32.18,33.5,32.84,38,224,0.4,187.5,2026-07-17
P,160.0,2026-10-15,3.62,3.8,3.74,15,105,0.3977,187.5,2026-07-17
C,162.5,2026-10-15,30.26,31.37,31.08,31,105,0.3945,187.5,2026-07-17
P,162.5,2026-10-15,4.01,4.24,4.21,0,4,0.3908,187.5,2026-07-17
C,165.0,2026-10-15,28.15,29.05,28.26,23,46,0.3801,187.5,2026-07-17
P,165.0,2026-10-15,4.66,4.76,4.7,7,38,0.3888,187.5,2026-07-17
C,167.5,2026-10-15,25.84,27.17,25.97,16,82,0.3695,187.5,2026-07-17
P,167.5,2026-10-15,4.94,5.1,5.06,3,79,0.3751,187.5,2026-07-17
C,170.0,2026-10-15,23.82,25.18,24.63,117,381,0.3605,187.5,2026-07-17
P,170.0,2026-10-15,5.45,5.77,5.67,130,827,0.37,187.5,2026-07-17
C,172.5,2026-10-15,22.33,22.98,22.49,15,108,0.3555,187.5,2026-07-17
P,172.5,2026-10-15,5.9,6.23,6.01,51,207,0.3588,187.5,2026-07-17
C,175.0,2026-10-15,20.53,21.46,20.88,51,494,0.3542,187.5,2026-07-17
P,175.0,2026-10-15,6.48,6.64,6.47,87,189,0.3474,187.5,2026-07-17
C,177.5,2026-10-15,18.99,19.79,19.55,83,368,0.3525,187.5,2026-07-17
P,177.5,2026-10-15,7.24,7.56,7.44,166,515,0.345,187.5,2026-07-17
C,180.0,2026-10-15,17.26,17.89,17.45,172,1104,0.3426,187.5,2026-07-17
P,180.0,2026-10-15,8.28,8.74,8.39,917,3194,0.3484,187.5,2026-07-17
C,182.5,2026-10-15,20.74,21.96,20.8,345,1158,0.4879,187.5,2026-07-17
P,182.5,2026-10-15,14.48,15.05,14.81,170,712,0.4937,187.5,2026-07-17
C,185.0,2026-10-15,14.33,14.68,14.46,502,2992,0.3334,187.5,2026-07-17
P,185.0,2026-10-15,9.88,10.39,10.12,274,724,0.3318,187.5,2026-07-17
C,187.5,2026-10-15,13.07,13.36,13.32,425,1154,0.3324,187.5,2026-07-17
P,187.5,2026-10-15,11.17,11.41,11.39,940,2050,0.3301,187.5,2026-07-17
C,190.0,2026-10-15,11.28,11.74,11.6,365,1574,0.3182,187.5,2026-07-17
P,190.0,2026-10-15,12.25,12.68,12.56,813,1709,0.3268,187.5,2026-07-17
C,192.5,2026-10-15,10.11,10.54,10.41,42,277,0.3157,187.5,2026-07-17
P,192.5,2026-10-15,13.23,13.98,13.22,743,2064,0.3204,187.5,2026-07-17
C,195.0,2026-10-15,8.97,9.37,9.3,2,24,0.3121,187.5,2026-07-17
P,195.0,2026-10-15,14.83,15.65,15.32,102,1627,0.3253,187.5,2026-07-17
C,197.5,2026-10-15,8.42,8.75,8.68,108,423,0.3218,187.5,2026-07-17
P,197.5,2026-10-15,16.19,16.54,16.45,128,1015,0.314,187.5,2026-07-17
C,200.0,2026-10-15,7.59,7.85,7.65,523,1057,0.3218,187.5,2026-07-17
P,200.0,2026-10-15,18.2,18.63,18.49,805,2817,0.3263,187.5,2026-07-17
C,202.5,2026-10-15,6.77,6.91,6.82,10,150,0.3196,187.5,2026-07-17
P,202.5,2026-10-15,19.38,20.01,19.67,158,311,0.3149,187.5,2026-07-17
C,205.0,2026-10-15,5.92,6.24,6.12,65,180,0.3187,187.5,2026-07-17
P,205.0,2026-10-15,21.08,21.89,21.67,6,41,0.3162,187.5,2026-07-17
C,207.5,2026-10-15,5.25,5.57,5.52,186,369,0.3185,187.5,2026-07-17
P,207.5,2026-10-15,22.81,24.06,22.93,54,156,0.3203,187.5,2026-07-17
C,210.0,2026-10-15,4.65,4.92,4.89,76,253,0.3178,187.5,2026-07-17
P,210.0,2026-10-15,24.75,25.62,25.2,123,257,0.3164,187.5,2026-07-17
C,212.5,2026-10-15,4.01,4.24,4.21,8,54,0.3138,187.5,2026-07-17
P,212.5,2026-10-15,26.98,27.77,27.34,23,130,0.325,187.5,2026-07-17
C,215.0,2026-10-15,3.68,3.78,3.72,24,45,0.317,187.5,2026-07-17
P,215.0,2026-10-15,28.57,29.89,29.4,27,52,0.3209,187.5,2026-07-17
C,217.5,2026-10-15,3.43,3.55,3.46,155,272,0.3244,187.5,2026-07-17
P,217.5,2026-10-15,30.43,32.01,31.14,37,92,0.3194,187.5,2026-07-17
C,220.0,2026-10-15,2.84,2.95,2.92,61,108,0.3171,187.5,2026-07-17
P,220.0,2026-10-15,32.83,33.64,32.9,23,80,0.317,187.5,2026-07-17
C,222.5,2026-10-15,2.34,2.43,2.41,14,38,0.3105,187.5,2026-07-17
P,222.5,2026-10-15,34.81,36.43,35.74,148,274,0.3281,187.5,2026-07-17
C,225.0,2026-10-15,2.31,2.36,2.34,17,61,0.3219,187.5,2026-07-17
P,225.0,2026-10-15,36.65,38.69,37.71,87,208,0.3239,187.5,2026-07-17
